,clean_machine,process_number,label,time_frame,filename,vibration_data
M01_OP07_good_Aug_2019_M01_Aug_2019_OP07_014,M01,OP07,good,Aug_2019,M01_Aug_2019_OP07_014.h5,"[[  -11.    33. -1015.]
 [  -17.    19. -1013.]
 [  -23.    15. -1009.]
 ...
 [   -3.    42. -1011.]
 [   -3.    15. -1015.]
 [  -25.    33. -1020.]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_007,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_007.h5,"[[   -7.    25. -1018.]
 [  -13.    19. -1022.]
 [  -17.    25. -1016.]
 ...
 [  -11.    40. -1013.]
 [    0.    15. -1013.]
 [  -25.    13. -1015.]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_008,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_008.h5,"[[  -17.    19. -1020.]
 [  -21.    25. -1022.]
 [  -21.    21. -1015.]
 ...
 [   44.    29. -1003.]
 [   13.     9. -1007.]
 [   31.    39.  -997.]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_009,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_009.h5,"[[  -13.    25. -1016.]
 [   -9.    13. -1018.]
 [  -11.    21. -1016.]
 ...
 [    3.    17. -1016.]
 [  -19.    13. -1016.]
 [  -27.    35. -1016.]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_010,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_010.h5,"[[-1.900e+01  1.700e+01 -1.011e+03]
 [-2.500e+01  2.900e+01 -1.024e+03]
 [-1.000e+00  3.100e+01 -1.016e+03]
 ...
 [-2.100e+01  2.300e+01 -1.016e+03]
 [-9.000e+00  2.700e+01 -1.016e+03]
 [-2.300e+01  1.900e+01 -1.026e+03]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_011,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_011.h5,"[[    0.    29. -1016.]
 [  -15.    31. -1018.]
 [  -13.    15. -1022.]
 ...
 [  -15.    29. -1020.]
 [    5.    19. -1022.]
 [  -33.    21. -1026.]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_012,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_012.h5,"[[  -11.    19. -1024.]
 [  -13.    15. -1009.]
 [  -19.    37. -1020.]
 ...
 [   -5.    31. -1022.]
 [   -9.    23. -1013.]
 [  -13.    19. -1015.]]"
M01_OP10_good_Aug_2019_M01_Aug_2019_OP10_013,M01,OP10,good,Aug_2019,M01_Aug_2019_OP10_013.h5,"[[-1.000e+00  2.900e+01 -1.018e+03]
 [-7.000e+00  2.300e+01 -1.020e+03]
 [-1.100e+01  2.500e+01 -1.015e+03]
 ...
 [-3.500e+01  7.000e+00 -1.015e+03]
 [-2.500e+01  2.900e+01 -1.011e+03]
 [-4.600e+01  1.700e+01 -1.005e+03]]"
M01_OP10_good_Feb_2019_M01_Feb_2019_OP10_000,M01,OP10,good,Feb_2019,M01_Feb_2019_OP10_000.h5,"[[ 2.700e+01  3.900e+01 -1.036e+03]
 [ 1.700e+01 -5.000e+00 -1.044e+03]
 [ 1.000e+00  5.200e+01 -1.046e+03]
 ...
 [ 1.300e+01  1.700e+01 -1.024e+03]
 [ 2.500e+01  3.100e+01 -1.046e+03]
 [ 1.500e+01  3.500e+01 -1.040e+03]]"
M01_OP10_good_Feb_2019_M01_Feb_2019_OP10_001,M01,OP10,good,Feb_2019,M01_Feb_2019_OP10_001.h5,"[[   11.    29. -1048.]
 [   35.    23. -1046.]
 [   21.    42. -1036.]
 ...
 [   70.   -35.  -999.]
 [   68.     5. -1015.]
 [   70.    46. -1020.]]"
